longitude;latitude;date
50,52415018;6,219420433;2018-11-15
50,52415018;6,219420433;2018-11-16
50,52415018;6,219420433;2018-11-17
50,52415018;6,219420433;2018-11-18
50,52415018;6,219420433;2018-11-19
50,52415018;6,219420433;2018-11-20
50,52415018;6,219420433;2018-11-21
50,52415018;6,219420433;2018-11-22
50,52415018;6,219420433;2018-11-23
50,52415018;6,219420433;2018-11-24
50,52415018;6,219420433;2018-11-25
50,52415018;6,219420433;2018-11-26
50,52415018;6,219420433;2018-11-27
50,52415018;6,219420433;2018-11-28
50,52415018;6,219420433;2018-11-29
50,52415018;6,219420433;2018-11-30
50,52415018;6,219420433;2018-12-01
50,52415018;6,219420433;2018-12-02
50,52415018;6,219420433;2018-12-03
50,52415018;6,219420433;2018-12-04
50,52415018;6,219420433;2018-12-05
50,52415018;6,219420433;2018-12-06
50,52415018;6,219420433;2018-12-07
50,52415018;6,219420433;2018-12-08
